=== FSE Reference Comparison Test ===
Generated 262144 bytes of random data
Running GPU Encoding...
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
GPU Chunk 0: i=4, sym=187, state_in=949, nbBits=9, bits=437, state_out=767
